"Cod","ID","Cameră","Titlu (RO)","Tur"
"1","CVB-TIN-01","CVB-TIN","Bun venit la Casa Veronica Bicu","cvb"
"2","CVB-TIN-02","CVB-TIN","Tinda: inima de trecere a casei","cvb"
"3","CVB-TIN-03","CVB-TIN","Timeline: repere din istoria Bucovinei","cvb"
"4","CVB-TIN-04","CVB-TIN","Fotografii vechi: familia Bâcu","cvb"
"5","CVB-C1-01","CVB-C1","Războiul de țesut","cvb"
"6","CVB-C1-02","CVB-C1","Soba din cameră","cvb"
"7","CVB-C1-03","CVB-C1","Patul tradițional","cvb"
"8","CVB-C1-04","CVB-C1","Icoane vechi","cvb"
"9","CVB-C1-05","CVB-C1","Năframe cusute în casă","cvb"
"10","CVB-C1-06","CVB-C1","Covor decorativ prins pe grindă","cvb"
"11","CVB-C1-07","CVB-C1","Modele de cusături: Coarnele Berbecului","cvb"
"12","CVB-C1-08","CVB-C1","Obiecte mici (vitrină)","cvb"
"13","CVB-C2-01","CVB-C2","Camera bună: camera de oaspeți","cvb"
"14","CVB-C2-02","CVB-C2","Primirea musafirilor","cvb"
"15","CVB-C2-03","CVB-C2","Părintele cu icoana de Crăciun","cvb"
"16","CVB-C2-04","CVB-C2","Boboteaza în casa tradițională","cvb"
"17","CVB-C2-05","CVB-C2","Dulap cu veselă","cvb"
"18","CVB-C2-06","CVB-C2","Obiecte de sticlă (Fabrica lui Fischer)","cvb"
"19","CVB-C2-07","CVB-C2","Instrumente muzicale","cvb"
"20","CVB-C3-01","CVB-C3","Bucătăria: locul de lucru al casei","cvb"
"21","CVB-C3-02","CVB-C3","Sobă cu plită","cvb"
"22","CVB-C3-03","CVB-C3","Blidar pentru castroane","cvb"
"23","CVB-C3-04","CVB-C3","Dulap pentru vesela de uz zilnic","cvb"
"24","CVB-C4-01","CVB-C4","Cămara: depozitul casei","cvb"
"25","CVB-C4-02","CVB-C4","Butoaie de diferite mărimi","cvb"
"26","CVB-C4-03","CVB-C4","Recipiente pentru cereale și ingrediente","cvb"
"27","CVB-C4-04","CVB-C4","Obiecte de uz casnic voluminoase","cvb"
"30","CAI-TIN-01","CAI-TIN","Casa Aionitoaie: povestea mutării","cai"
"31","CAI-TIN-02","CAI-TIN","Clăcile: cum s-a reconstruit casa","cai"
"32","CAI-TIN-03","CAI-TIN","Mostre de materii prime (interior tradițional)","cai"
"33","CAI-C1-01","CAI-C1","Sobă bucovineană cu cuptor","cai"
"34","CAI-C1-02","CAI-C1","Farfurii și căni de lut","cai"
"35","CAI-C1-03","CAI-C1","Pat (camera de workshop)","cai"
"36","CAI-C1-04","CAI-C1","Ladă de zestre","cai"
"37","CAI-C2-01","CAI-C2","Cum a fost dezmembrată și reansamblată casa","cai"
"38","CAI-C2-02","CAI-C2","Etapele demontării","cai"
"39","CAI-C2-03","CAI-C2","Reansamblarea: etape și nevoi","cai"
"40","CAI-C2-04","CAI-C2","Voluntarii (galerie foto)","cai"
"50","lemn","","Industria lemnului","industrie"
"51","sticla","","Industria sticlei","industrie"
"52","ciment","","Industria cimentului","industrie"
